Timestamp,Emotion
1694445289.620099,sad
1694445289.8451672,neutral
1694445290.0494888,neutral
1694445290.252287,neutral
1694445290.431645,neutral
1694445290.6482189,neutral
1694445290.837025,sad
1694445291.0505202,sad
1694445291.2401578,sad
1694445291.424937,sad
1694445291.9445062,neutral
1694445292.1543198,neutral
1694445292.33776,sad
1694445292.674483,neutral
1694445292.9175198,neutral
1694445293.123692,neutral
1694445293.3232481,neutral
1694445293.544889,neutral
1694445293.750648,neutral
1694445293.95262,neutral
1694445294.1709828,neutral
1694445294.415935,neutral
1694445294.648493,neutral
1694445294.862588,neutral
1694445295.115811,neutral
1694445295.500308,neutral
1694445295.733035,neutral
1694445296.125383,neutral
